,YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
400471,2003.0,,1.0,,,,,,1.0,,,,,37.757056,-122.17094099999998
400472,2003.0,,1.0,,,,,1.0,,,,,,37.757940000000005,-122.1854
400473,2003.0,1.0,,1.0,,,,,,,,,,37.772973,-122.20833
400474,2003.0,,1.0,,,,,1.0,,,,,,37.77397,-122.20517
400475,2003.0,,1.0,,,,,1.0,,,,,,37.778584,-122.206134
400476,2003.0,1.0,,,,1.0,,,,,,,,37.78346,-122.22241000000001
400477,2003.0,,1.0,,,,,,,,,,,37.788707,-122.201173
400478,2003.0,,1.0,,,,,,1.0,,,,,37.788337,-122.215303
400479,2003.0,,1.0,,,,,,1.0,,,,,37.792266999999995,-122.205374
400480,2003.0,,1.0,,,,,,1.0,,,,,37.771035999999995,-122.171555
400481,2003.0,,1.0,,,,,,1.0,,,,,37.776024,-122.184874
400482,2003.0,,1.0,,,,,1.0,,,,,,37.779789,-122.19021599999999
400483,2003.0,,1.0,,,,,1.0,,,,,,37.788998,-122.19169199999999
400484,2003.0,,1.0,,,,,,1.0,,,,,37.79333,-122.254046
400485,2003.0,,1.0,,,,,1.0,,,,,,37.794719,-122.24592700000001
400486,2003.0,,1.0,,,,,,1.0,,,,,37.79492,-122.25117900000001
400487,2003.0,,1.0,,,,,,1.0,,,,,37.795825,-122.25434299999999
400488,2003.0,,1.0,,,,,,,,,,,37.799182,-122.23113700000002
400489,2003.0,,1.0,,,,,,1.0,,,,,37.799374,-122.23954099999999
400490,2003.0,,1.0,,,,,,1.0,,,,,37.80023,-122.23583400000001
400491,2003.0,,1.0,,,,,1.0,,,,,,37.803533,-122.26766299999998
400492,2003.0,1.0,,,,1.0,,,,,,,,37.804140000000004,-122.277184
400493,2003.0,,1.0,,,,,,1.0,,,,,37.808931,-122.246176
400494,2003.0,,1.0,,,,,1.0,,,,,,37.808825,-122.253775
400495,2003.0,,1.0,,,,,1.0,,,,,,37.811234999999996,-122.242202
400496,2003.0,1.0,,,,1.0,,,,,,,,37.813247,-122.24144199999999
400497,2003.0,,1.0,,,,,,,,,,,37.812639000000004,-122.268749
400498,2003.0,,1.0,,,,,,1.0,,,,,37.812913,-122.28113799999998
